stock1,stock2,stdev
AMID,WMB,2.1940976720748573
AM,EQM,1.2839770713199503
ATO,OGS,0.5426666980197473
BPT,PBFX,2.0939423957227756
BHGE,WMB,1.7270904328008303
BKH,ATO,0.9546082177062976
BSM,ATO,1.3888594807217993
CNXM,EQM,1.788640568731469
CNP,NI,0.6768325421591156
CQH,EQM,1.3102938012486336
CPK,OGS,0.9907441226935693
SNP,PTR,0.8561604828865546
CLNE,WMB,2.6152160409597256
CRT,ATO,1.4265118902371505
DCP,WES,1.2591107529851608
DM,SEP,1.9894920603580692
DMLP,TRP,1.6058480649652216
DRQ,NOV,1.6343314797439175
EQGP,EQM,1.660982583132649
EQM,SEP,1.1321779243620862
ETE,WMB,1.4531891683275748
ETP,WMB,1.346888220626577
ENLC,ENLK,1.1997361606580836
ENLK,ENLC,1.1997361606580836
FET,OIS,2.3128886642258393
HMLP,WMB,1.3427183308862163
HEP,WMB,1.3497410937841456
KMI,WMB,1.0313289921358713
MPLX,WMB,1.2071169637309827
MARPS,OGS,4.13072889657216
MMLP,MPLX,1.8911471172708685
NOV,WMB,1.5172997811094724
NJR,OGS,0.7320551518097346
NEXT,CNP,3.8814853786783448
NI,ATO,0.647685142188375
NBLX,EQM,1.717370317745727
NRT,OGS,2.06187478883347
NWN,OGS,0.6650591937658111
OIS,NOV,1.6473022836847808
OGS,ATO,0.5426666980197473
PBFX,TRP,1.2074893179885378
PBT,CNP,1.7106049004448964
PTR,SNP,0.8561604828865546
RGCO,VVC,2.3119348763683454
SBR,ATO,1.5309872772785778
SJT,PBFX,1.968236115750184
SRE,NI,0.7694380020628858
SJI,NJR,0.9858550418726073
SXE,AMID,3.17270070459077
SWX,OGS,0.8949320596402122
SEP,EQM,1.1321779243620862
SR,OGS,0.7115412143945401
SRLP,WMB,1.851377667179621
SMLP,WGP,1.7742265829455541
SDPI,SBR,4.435177077657336
TCP,SEP,1.5545021004919437
TRGP,WMB,1.4140458578433353
TRP,CNP,1.196724880350486
VVC,ATO,0.8734219050651486
WGP,WES,1.0789741751497428
WES,WGP,1.0789741751497428
WMB,KMI,1.0313289921358713
